,date_registered,username,name,gender,address,email,birthdate,residence,employer,job,age,salary,credit_card_provider,credit_card_number,credit_card_security_code,credit_card_expire
15,4544,wi*********s,Kevin Young,F,"211 4 Ln, 900-7866",zm******l@gmail.com,50981,"Phoenix, OH",UJZRGX,IMAGWS,"(26,40)","(75,000,250000)",WFTMDV,37************5,##6,CWDTUC
562,4543,je***********o,William Young,F,"876 50 Ave, 100-1558",br********n@hotmail.com,44083,"Houston, FL",DYYXLL,LQBXJV,"(41,60)","(75,000,250000)",MFZRLP,67*********3,###8,LHOCDI
628,4542,jo***********a,Elizabeth King,M,"119 54 Ave, 500-4515",ue*****a@yahoo.com,53958,"Los Angeles, NY",XRCSIM,VALQVB,"(41,60)","(75,000,250000)",KVRJWO,35*************7,###7,SEBYGM
813,4541,ky***4,Amanda Hernandez,M,"272 1 Ln, 900-7906",ka********9@gmail.com,56135,"San Antonio, NY",TLHRJI,RPHFXQ,"(41,60)","(75,000,250000)",UEJEZN,67*********4,###8,PNTUOK
1603,4540,an********d,Mary Jones,M,"848 25 St, 900-5306",da******l@yahoo.com,63593,"Chicago, PA",CDNEGZ,OYNLLL,"(41,60)","(75,000,250000)",UEJEZN,22*************6,###1,UHYEMQ
1822,4539,zb*****t,Mary Smith,M,"369 72 Ave, 800-3882",ju******n@yahoo.com,73967,"Chicago, NY",AVHJSG,LROBRD,"(41,60)","(75,000,250000)",MAOKIJ,65*************6,####2,DCTOBI
5305,4538,tp***s,Emily Jones,M,"401 40 Ln, 300-1383",ch************r@yahoo.com,75275,"Dallas, TX",WYXRLL,VJQPDY,"(41,60)","(75,000,250000)",GUYUNS,37************4,###8,WIKHTN
5402,4537,we*********d,Daniel Miller,F,"978 93 Ln, 600-4027",ys*****t@yahoo.com,77629,"Philadelphia, VA",RQNGRY,GBCFZR,"(26,40)","(75,000,250000)",RCMTBS,18************1,###7,FOFKCQ
5918,4536,ma*****3,Joseph Williams,M,"190 78 Rd, 900-2700",mo******7@yahoo.com,79088,"New York, TX",VAMWOP,UNWFHT,"(26,40)","(25000,50000)",MAOKIJ,21************7,###0,MELDTU
5961,4535,pa*************l,Brian Smith,M,"873 22  Blvd, 300-2220",vc******r@yahoo.com,53760,"San Jose, OH",HNRSCJ,KCTRNV,"(60,65)","(75,000,250000)",UEJEZN,41*************7,###5,CIHWVB
8309,4534,ju*****1,John Clark,M,"808 63 Ave, 700-5047",mi*********y@yahoo.com,68574,"San Antonio, NC",MRMZAS,LLSRIV,"(41,60)","(25000,50000)",MAOKIJ,54*************7,###9,UVCWON
8847,4533,da*****1,Robert Brown,F,"918 72 St, 400-9594",go**********g@gmail.com,65528,"Phoenix, TX",JILEBR,WIUGCM,"(41,60)","(25000,50000)",KVRJWO,21************7,###5,TCTVLC
263,4531,te********e,Jennifer Clark,F,"155 85  Blvd, 600-9803",da*********s@yahoo.com,65617,"San Antonio, FL",BJHQSM,BYRCTI,"(60,65)","(75,000,250000)",YMXPWJ,52*************9,###1,BQEZAT
639,4530,xb**t,Sarah Young,M,"882 82  Blvd, 100-7765",ch*********s@hotmail.com,42900,"New York, TX",GGIKGS,DJZGNF,"(0,18)","(75,000,250000)",UEJEZN,46**********8,###7,JWLPXS
2608,4529,nh**n,Mary Hernandez,F,"906 44 Ave, 400-7502",ps*****n@hotmail.com,69241,"Houston, NY",RJOQQP,PQJFIK,"(41,60)","(75,000,250000)",GUYUNS,43*************1,###3,QZMSQJ
2643,4528,jo*****7,John King,M,"537 28 St, 100-4908",gr********n@yahoo.com,47347,"San Diego, NY",BBMVCP,DAEBQX,"(26,40)","(75,000,250000)",MAOKIJ,18************5,###4,PHSPXU
4361,4527,ct****s,Joseph Miller,F,"774 1 St, 700-4624",wa*****h@gmail.com,70795,"Los Angeles, TX",KCYGBB,GQTQMC,"(41,60)","(75,000,250000)",BWTPEW,60********7,##3,IGOZFL
4944,4526,ha*********y,Sarah Clark,M,"264 97 Ave, 600-8405",sn*****k@yahoo.com,73243,"New York, NY",MMTQCW,EHMGRP,"(41,60)","(75,000,250000)",MFZRLP,18************5,###7,RVUNKZ
5200,4525,wa*********a,Amanda Brown,F,"344 29 St, 700-9234",ke****4@yahoo.com,52392,"New York, NY",JAQGBS,YIFEHV,"(60,65)","(75,000,250000)",KCUOPI,60*************5,###3,MRYEWE
6294,4524,mo*****n,Andrew Walker,M,"861 66 St, 800-7453",ha*********r@yahoo.com,42787,"San Jose, OH",OZXMCF,GFDVYE,"(41,60)","(50000,75000)",MAOKIJ,48****************2,###4,GSDNFC
8678,4523,cp***z,William Moore,F,"145 59 Ave, 700-8210",an**********t@gmail.com,75339,"San Diego, NY",XTKMLR,XOJQUE,"(60,65)","(75,000,250000)",MAOKIJ,48*************0,###0,CVZHWA
119,4521,br***********r,Daniel Rodriguez,F,"643 64 Ln, 900-3904",am************z@yahoo.com,52662,"Houston, TX",XDKWOS,ECWGTU,"(19,25)","(75,000,250000)",MFZRLP,35*************7,###4,HGSHLX
990,4520,el*************z,Jane Rodriguez,M,"710 75 Ave, 900-7980",da************n@hotmail.com,48632,"New York, CA",VTWKRP,JULBZN,"(41,60)","(75,000,250000)",BWTPEW,40*************7,###3,EFEUAT
2356,4519,er******s,Ashley Moore,F,"887 100 Ave, 800-2087",xp****e@yahoo.com,53946,"Los Angeles, VA",LDXGIG,MRMFYP,"(0,18)","(25000,50000)",MFZRLP,35*************3,###7,RXSLTY
2467,4518,pl*e,Jessica King,F,"273 83 Ln, 900-1733",ga**********a@hotmail.com,55376,"Philadelphia, NC",KYDDNV,RZIWMN,"(41,60)","(25000,50000)",KVRJWO,40*************1,###3,UKXNKX
4692,4517,be*******8,Joseph Brown,F,"230 54 Rd, 400-2337",os****0@gmail.com,68829,"Philadelphia, PA",HTNGYG,IKWNBH,"(19,25)","(75,000,250000)",WFTMDV,41*************3,###7,ONXWXR
4880,4516,yo*******i,Amanda Smith,M,"826 68 Ave, 700-8216",gr******4@gmail.com,71366,"San Jose, GA",DPLOXS,DAEBQX,"(19,25)","(75,000,250000)",RCMTBS,43**********9,##3,MCKPJO
